order_number,status,matched_customer,order_status,delivery_date,total_amount,items,attempts,error,timestamp
CM0002153161,not_found,,,,,,195,,2025-09-29T18:11:23.434238
CM0002153162,not_found,,,,,,195,,2025-09-29T18:43:44.204813
CM0002153163,not_found,,,,,,195,,2025-09-29T18:43:46.297999
CM0002153164,not_found,,,,,,195,,2025-09-29T18:43:48.400381
CM0002153165,not_found,,,,,,195,,2025-09-29T18:43:50.497358
CM0002153166,not_found,,,,,,195,,2025-09-29T18:43:52.595743
CM0002153167,not_found,,,,,,195,,2025-09-29T18:43:54.693414
CM0002153168,not_found,,,,,,195,,2025-09-29T18:43:56.786996
CM0002153169,not_found,,,,,,195,,2025-09-29T18:43:58.889724
CM0002153170,not_found,,,,,,195,,2025-09-29T18:44:00.988049
CM0002153171,not_found,,,,,,195,,2025-09-29T18:44:03.087337
CM0002153172,not_found,,,,,,195,,2025-09-29T18:44:05.208552
CM0002153173,not_found,,,,,,195,,2025-09-29T18:44:07.378391
CM0002153174,not_found,,,,,,195,,2025-09-29T18:44:09.474011
CM0002153175,not_found,,,,,,195,,2025-09-29T18:44:11.577929
CM0002153176,not_found,,,,,,195,,2025-09-29T18:44:13.665427
CM0002153177,not_found,,,,,,195,,2025-09-29T18:44:15.761779
CM0002153178,not_found,,,,,,195,,2025-09-29T18:44:17.848460
CM0002153179,not_found,,,,,,195,,2025-09-29T18:44:19.942832
CM0002153180,not_found,,,,,,195,,2025-09-29T18:44:22.028775
CM0002153181,not_found,,,,,,195,,2025-09-29T18:44:24.128461
CM0002153182,not_found,,,,,,195,,2025-09-29T18:44:26.258834
CM0002153183,not_found,,,,,,195,,2025-09-29T18:44:28.358776
CM0002153184,not_found,,,,,,195,,2025-09-29T18:44:30.488947
CM0002153185,not_found,,,,,,195,,2025-09-29T18:44:32.699046
CM0002153186,not_found,,,,,,195,,2025-09-29T18:44:34.799853
CM0002153187,not_found,,,,,,195,,2025-09-29T18:44:36.899847
CM0002153188,not_found,,,,,,195,,2025-09-29T18:44:38.992149
CM0002153189,not_found,,,,,,195,,2025-09-29T18:44:41.100341
CM0002153190,not_found,,,,,,195,,2025-09-29T18:44:43.185945
CM0002153191,not_found,,,,,,195,,2025-09-29T18:44:45.282690
CM0002153192,not_found,,,,,,195,,2025-09-29T18:44:47.393033
CM0002153193,not_found,,,,,,195,,2025-09-29T18:44:49.495880
CM0002153194,not_found,,,,,,195,,2025-09-29T18:44:51.589539
CM0002153195,not_found,,,,,,195,,2025-09-29T18:44:53.678838
CM0002153196,not_found,,,,,,195,,2025-09-29T18:44:55.773347
CM0002153197,not_found,,,,,,195,,2025-09-29T18:44:57.856232
CM0002153198,not_found,,,,,,195,,2025-09-29T18:44:59.954215
CM0002153199,not_found,,,,,,195,,2025-09-29T18:45:02.049776
CM0002153200,not_found,,,,,,195,,2025-09-29T18:45:04.146346
CM0002153201,not_found,,,,,,195,,2025-09-29T18:45:06.237717
CM0002153202,not_found,,,,,,195,,2025-09-29T18:45:08.334611
CM0002153203,not_found,,,,,,195,,2025-09-29T18:45:10.418204
CM0002153204,not_found,,,,,,195,,2025-09-29T18:45:12.516705
CM0002153205,not_found,,,,,,195,,2025-09-29T18:45:14.606231
CM0002153206,not_found,,,,,,195,,2025-09-29T18:45:16.697312
CM0002153207,not_found,,,,,,195,,2025-09-29T18:45:18.788869
CM0002153208,not_found,,,,,,195,,2025-09-29T18:45:20.891155
CM0002153209,not_found,,,,,,195,,2025-09-29T18:45:22.987071
CM0002153210,not_found,,,,,,195,,2025-09-29T18:45:25.082513
CM0002153211,not_found,,,,,,195,,2025-09-29T18:45:27.178383
CM0002153212,not_found,,,,,,195,,2025-09-29T18:45:29.261871
CM0002153213,not_found,,,,,,195,,2025-09-29T18:45:31.353744
CM0002153214,not_found,,,,,,195,,2025-09-29T18:45:33.450517
CM0002153215,not_found,,,,,,195,,2025-09-29T18:45:35.547016
CM0002153216,not_found,,,,,,195,,2025-09-29T18:45:37.643154
CM0002153217,not_found,,,,,,195,,2025-09-29T18:45:39.737690
CM0002153218,not_found,,,,,,195,,2025-09-29T18:45:41.835845
CM0002153219,not_found,,,,,,195,,2025-09-29T18:45:43.962753
CM0002153220,not_found,,,,,,195,,2025-09-29T18:45:46.053526
CM0002153221,not_found,,,,,,195,,2025-09-29T18:45:48.146884
CM0002153222,not_found,,,,,,195,,2025-09-29T18:45:50.236590
CM0002153223,not_found,,,,,,195,,2025-09-29T18:45:52.328623
CM0002153224,not_found,,,,,,195,,2025-09-29T18:45:54.428879
CM0002153225,not_found,,,,,,195,,2025-09-29T18:45:56.524694
CM0002153226,not_found,,,,,,195,,2025-09-29T18:45:58.618922
CM0002153227,not_found,,,,,,195,,2025-09-29T18:46:00.720053
CM0002153228,not_found,,,,,,195,,2025-09-29T18:46:02.801187
CM0002153229,not_found,,,,,,195,,2025-09-29T18:46:04.926090
CM0002153230,not_found,,,,,,195,,2025-09-29T18:46:07.128546
CM0002153231,not_found,,,,,,195,,2025-09-29T18:46:09.230062
CM0002153232,not_found,,,,,,195,,2025-09-29T18:46:11.333484
CM0002153233,not_found,,,,,,195,,2025-09-29T18:46:13.417453
CM0002153234,not_found,,,,,,195,,2025-09-29T18:46:15.516276
CM0002153235,not_found,,,,,,195,,2025-09-29T18:46:17.614431
CM0002153236,not_found,,,,,,195,,2025-09-29T18:46:19.710812
CM0002153237,not_found,,,,,,195,,2025-09-29T18:46:21.794139
CM0002153238,not_found,,,,,,195,,2025-09-29T18:46:23.884201
CM0002153239,not_found,,,,,,195,,2025-09-29T18:46:25.978169
CM0002153240,not_found,,,,,,195,,2025-09-29T18:46:28.067461
CM0002153241,not_found,,,,,,195,,2025-09-29T18:46:30.158262
CM0002153242,not_found,,,,,,195,,2025-09-29T18:46:32.243338
CM0002153243,not_found,,,,,,195,,2025-09-29T18:46:34.335446
CM0002153244,not_found,,,,,,195,,2025-09-29T18:46:36.424236
CM0002153245,not_found,,,,,,195,,2025-09-29T18:46:38.509981
CM0002153246,not_found,,,,,,195,,2025-09-29T18:46:40.699917
CM0002153247,not_found,,,,,,195,,2025-09-29T18:46:43.425368
CM0002153248,not_found,,,,,,195,,2025-09-29T18:46:45.519868
CM0002153249,not_found,,,,,,195,,2025-09-29T18:46:48.336195
CM0002153250,not_found,,,,,,195,,2025-09-29T18:46:50.423112
CM0002153251,not_found,,,,,,195,,2025-09-29T18:46:52.509536
CM0002153252,not_found,,,,,,195,,2025-09-29T18:46:54.601574
CM0002153253,not_found,,,,,,195,,2025-09-29T18:46:56.699252
CM0002153254,not_found,,,,,,195,,2025-09-29T18:47:01.175378
CM0002153255,not_found,,,,,,195,,2025-09-29T18:47:03.274292
CM0002153256,not_found,,,,,,195,,2025-09-29T18:47:05.373951
CM0002153257,not_found,,,,,,195,,2025-09-29T18:47:07.501016
CM0002153258,not_found,,,,,,195,,2025-09-29T18:47:09.597334
CM0002153259,not_found,,,,,,195,,2025-09-29T18:47:11.684032
CM0002153260,not_found,,,,,,195,,2025-09-29T18:47:13.773026
CM0002153261,not_found,,,,,,195,,2025-09-29T18:47:15.863142
CM0002153262,not_found,,,,,,195,,2025-09-29T18:47:17.947714
CM0002153263,not_found,,,,,,195,,2025-09-29T18:47:20.036771
CM0002153264,not_found,,,,,,195,,2025-09-29T18:47:22.124135
CM0002153265,not_found,,,,,,195,,2025-09-29T18:47:24.213314
CM0002153266,not_found,,,,,,195,,2025-09-29T18:47:26.409680
CM0002153267,not_found,,,,,,195,,2025-09-29T18:47:28.496851
CM0002153268,not_found,,,,,,195,,2025-09-29T18:47:30.595099
CM0002153269,not_found,,,,,,195,,2025-09-29T18:47:32.676609
CM0002153270,not_found,,,,,,195,,2025-09-29T18:47:34.767396
CM0002153271,not_found,,,,,,195,,2025-09-29T18:47:36.868317
CM0002153272,not_found,,,,,,195,,2025-09-29T18:47:38.974882
CM0002153273,not_found,,,,,,195,,2025-09-29T18:47:41.065601
CM0002153274,not_found,,,,,,195,,2025-09-29T18:47:43.157558
CM0002153275,not_found,,,,,,195,,2025-09-29T18:47:45.265722
CM0002153276,not_found,,,,,,195,,2025-09-29T18:47:47.427120
CM0002153277,not_found,,,,,,195,,2025-09-29T18:47:49.504944
CM0002153278,not_found,,,,,,195,,2025-09-29T18:47:51.591111
CM0002153279,not_found,,,,,,195,,2025-09-29T18:47:53.681163
CM0002153280,not_found,,,,,,195,,2025-09-29T18:47:55.761986
CM0002153281,not_found,,,,,,195,,2025-09-29T18:47:57.860048
CM0002153282,not_found,,,,,,195,,2025-09-29T18:47:59.937196
CM0002153283,not_found,,,,,,195,,2025-09-29T18:48:02.036818
CM0002153284,not_found,,,,,,195,,2025-09-29T18:48:04.134316
CM0002153285,not_found,,,,,,195,,2025-09-29T18:48:06.303000
CM0002153286,not_found,,,,,,195,,2025-09-29T18:48:08.397746
CM0002153287,not_found,,,,,,195,,2025-09-29T18:48:10.495607
CM0002153288,not_found,,,,,,195,,2025-09-29T18:48:12.594229
CM0002153289,not_found,,,,,,195,,2025-09-29T18:48:14.690335
CM0002153290,not_found,,,,,,195,,2025-09-29T18:48:16.788789
CM0002153291,not_found,,,,,,195,,2025-09-29T18:48:18.885039
CM0002153292,not_found,,,,,,195,,2025-09-29T18:48:20.969491
CM0002153293,not_found,,,,,,195,,2025-09-29T18:48:23.068558
CM0002153294,not_found,,,,,,195,,2025-09-29T18:48:25.171996
CM0002153295,not_found,,,,,,195,,2025-09-29T18:48:27.266771
CM0002153296,not_found,,,,,,195,,2025-09-29T18:48:29.385390
CM0002153297,not_found,,,,,,195,,2025-09-29T18:48:31.474606
CM0002153298,not_found,,,,,,195,,2025-09-29T18:48:33.598283
CM0002153299,not_found,,,,,,195,,2025-09-29T18:48:35.692517
CM0002153300,not_found,,,,,,195,,2025-09-29T18:48:37.797462
CM0002153301,not_found,,,,,,195,,2025-09-29T18:48:39.891518
CM0002153302,not_found,,,,,,195,,2025-09-29T18:48:41.981592
CM0002153303,not_found,,,,,,195,,2025-09-29T18:48:44.071973
CM0002153304,not_found,,,,,,195,,2025-09-29T18:48:46.159965
CM0002153305,not_found,,,,,,195,,2025-09-29T18:48:48.246513
CM0002153306,not_found,,,,,,195,,2025-09-29T18:48:50.338653
CM0002153307,not_found,,,,,,195,,2025-09-29T18:48:52.424943
CM0002153308,not_found,,,,,,195,,2025-09-29T18:48:54.529338
CM0002153309,not_found,,,,,,195,,2025-09-29T18:48:56.610791
CM0002153310,not_found,,,,,,195,,2025-09-29T18:48:58.709429
CM0002153311,not_found,,,,,,195,,2025-09-29T18:49:00.801473
CM0002153312,not_found,,,,,,195,,2025-09-29T18:49:02.891545
CM0002153313,not_found,,,,,,195,,2025-09-29T18:49:04.993112
CM0002153314,not_found,,,,,,195,,2025-09-29T18:49:07.083417
CM0002153315,not_found,,,,,,195,,2025-09-29T18:49:09.182345
CM0002153316,not_found,,,,,,195,,2025-09-29T18:49:11.272470
CM0002153317,not_found,,,,,,195,,2025-09-29T18:49:13.375485
CM0002153318,not_found,,,,,,195,,2025-09-29T18:49:15.473651
CM0002153319,not_found,,,,,,195,,2025-09-29T18:49:17.565773
CM0002153320,not_found,,,,,,195,,2025-09-29T18:49:19.660966
CM0002153321,not_found,,,,,,195,,2025-09-29T18:49:21.838612
CM0002153322,not_found,,,,,,195,,2025-09-29T18:49:26.108946
CM0002153323,not_found,,,,,,195,,2025-09-29T18:49:28.226040
CM0002153324,not_found,,,,,,195,,2025-09-29T18:49:30.367613
CM0002153325,not_found,,,,,,195,,2025-09-29T18:49:32.632008
CM0002153326,not_found,,,,,,195,,2025-09-29T18:49:34.729696
CM0002153327,not_found,,,,,,195,,2025-09-29T18:49:36.849227
CM0002153328,not_found,,,,,,195,,2025-09-29T18:49:38.950692
CM0002153329,not_found,,,,,,195,,2025-09-29T18:49:41.036440
CM0002153330,not_found,,,,,,195,,2025-09-29T18:49:43.127086
CM0002153331,not_found,,,,,,195,,2025-09-29T18:49:45.261459
CM0002153332,not_found,,,,,,195,,2025-09-29T18:49:47.358902
CM0002153333,not_found,,,,,,195,,2025-09-29T18:49:49.450024
CM0002153334,not_found,,,,,,195,,2025-09-29T18:49:51.544003
CM0002153335,not_found,,,,,,195,,2025-09-29T18:49:53.648569
CM0002153336,not_found,,,,,,195,,2025-09-29T18:49:55.743704
CM0002153337,not_found,,,,,,195,,2025-09-29T18:49:57.863610
CM0002153338,not_found,,,,,,195,,2025-09-29T18:49:59.961225
CM0002153339,not_found,,,,,,195,,2025-09-29T18:50:02.056159
CM0002153340,not_found,,,,,,195,,2025-09-29T18:50:04.162933
CM0002153341,not_found,,,,,,195,,2025-09-29T18:50:06.256976
CM0002153342,not_found,,,,,,195,,2025-09-29T18:50:08.356427
CM0002153343,not_found,,,,,,195,,2025-09-29T18:50:10.450863
CM0002153344,not_found,,,,,,195,,2025-09-29T18:50:12.579928
CM0002153345,not_found,,,,,,195,,2025-09-29T18:50:14.677229
CM0002153346,not_found,,,,,,195,,2025-09-29T18:50:16.778131
CM0002153347,not_found,,,,,,195,,2025-09-29T18:50:18.875827
CM0002153348,not_found,,,,,,195,,2025-09-29T18:50:20.972839
CM0002153349,not_found,,,,,,195,,2025-09-29T18:50:23.075314
CM0002153350,not_found,,,,,,195,,2025-09-29T18:50:25.176497
CM0002153351,not_found,,,,,,195,,2025-09-29T18:50:27.286541
CM0002153352,not_found,,,,,,195,,2025-09-29T18:50:29.386522
CM0002153353,not_found,,,,,,195,,2025-09-29T18:50:31.485562
CM0002153354,not_found,,,,,,195,,2025-09-29T18:50:33.584811
CM0002153355,not_found,,,,,,195,,2025-09-29T18:50:35.681305
CM0002153356,not_found,,,,,,195,,2025-09-29T18:50:37.782126
CM0002153357,not_found,,,,,,195,,2025-09-29T18:50:39.882577
CM0002153358,not_found,,,,,,195,,2025-09-29T18:50:41.982916
CM0002153359,not_found,,,,,,195,,2025-09-29T18:50:44.079013
CM0002153360,not_found,,,,,,195,,2025-09-29T18:50:46.176448
CM0002153361,not_found,,,,,,195,,2025-09-29T18:50:48.275390
CM0002153362,not_found,,,,,,195,,2025-09-29T18:50:50.375166
CM0002153363,not_found,,,,,,195,,2025-09-29T18:50:52.475832
CM0002153364,not_found,,,,,,195,,2025-09-29T18:50:54.573362
CM0002153365,not_found,,,,,,195,,2025-09-29T18:50:56.666496
CM0002153366,not_found,,,,,,195,,2025-09-29T18:50:58.763408
CM0002153367,not_found,,,,,,195,,2025-09-29T18:51:00.863737
CM0002153368,not_found,,,,,,195,,2025-09-29T18:51:02.965776
CM0002153369,not_found,,,,,,195,,2025-09-29T18:51:05.092505
CM0002153370,not_found,,,,,,195,,2025-09-29T18:51:07.201127
CM0002153371,not_found,,,,,,195,,2025-09-29T18:51:09.296766
CM0002153372,not_found,,,,,,195,,2025-09-29T18:51:11.403729
CM0002153373,not_found,,,,,,195,,2025-09-29T18:51:13.498638
CM0002153374,not_found,,,,,,195,,2025-09-29T18:51:15.596448
CM0002153375,not_found,,,,,,195,,2025-09-29T18:51:17.691106
CM0002153376,not_found,,,,,,195,,2025-09-29T18:51:19.791471
CM0002153377,not_found,,,,,,195,,2025-09-29T18:51:21.882862
CM0002153378,not_found,,,,,,195,,2025-09-29T18:51:23.977316
CM0002153379,not_found,,,,,,195,,2025-09-29T18:51:26.073530
CM0002153380,not_found,,,,,,195,,2025-09-29T18:51:28.165491
CM0002153381,not_found,,,,,,195,,2025-09-29T18:51:30.264127
CM0002153382,not_found,,,,,,195,,2025-09-29T18:51:32.361645
CM0002153383,not_found,,,,,,195,,2025-09-29T18:51:34.458831
CM0002153384,not_found,,,,,,195,,2025-09-29T18:51:36.555857
CM0002153385,not_found,,,,,,195,,2025-09-29T18:51:38.661777
CM0002153386,not_found,,,,,,195,,2025-09-29T18:51:40.786831
CM0002153387,not_found,,,,,,195,,2025-09-29T18:51:42.882944
CM0002153388,not_found,,,,,,195,,2025-09-29T18:51:44.979452
CM0002153389,not_found,,,,,,195,,2025-09-29T18:51:47.081743
CM0002153390,not_found,,,,,,195,,2025-09-29T18:51:49.172880
CM0002153391,not_found,,,,,,195,,2025-09-29T18:51:51.297042
CM0002153392,not_found,,,,,,195,,2025-09-29T18:51:53.397822
CM0002153393,not_found,,,,,,195,,2025-09-29T18:51:55.496010
CM0002153394,not_found,,,,,,195,,2025-09-29T18:51:57.587726
CM0002153395,not_found,,,,,,195,,2025-09-29T18:51:59.683385
CM0002153396,not_found,,,,,,195,,2025-09-29T18:52:01.776290
CM0002153397,not_found,,,,,,195,,2025-09-29T18:52:03.873654
CM0002153398,not_found,,,,,,195,,2025-09-29T18:52:05.999018
CM0002153399,not_found,,,,,,195,,2025-09-29T18:52:08.107271
CM0002153400,not_found,,,,,,195,,2025-09-29T18:52:10.215170
CM0002153401,not_found,,,,,,195,,2025-09-29T18:52:12.303768
CM0002153402,not_found,,,,,,195,,2025-09-29T18:52:14.398479
CM0002153403,not_found,,,,,,195,,2025-09-29T18:52:16.499371
CM0002153404,not_found,,,,,,195,,2025-09-29T18:52:18.598356
CM0002153405,not_found,,,,,,195,,2025-09-29T18:52:20.698341
CM0002153406,not_found,,,,,,195,,2025-09-29T18:52:22.794949
CM0002153407,not_found,,,,,,195,,2025-09-29T18:52:24.890909
CM0002153408,not_found,,,,,,195,,2025-09-29T18:52:26.987033
CM0002153409,not_found,,,,,,195,,2025-09-29T18:52:29.086541
CM0002153410,not_found,,,,,,195,,2025-09-29T18:52:31.184909
